,speciality,f_zip_code,count
60,Cardiovascular Disease,00927,15.0
61,Cardiovascular Disease,00935,11.0
62,Cardiovascular Disease,00936,137.0
63,Cardiovascular Disease,00949,11.0
64,Cardiovascular Disease,00950,5.0
65,Cardiovascular Disease,00953,3.0
66,Cardiovascular Disease,00956,9.0
67,Cardiovascular Disease,00957,3.0
68,Cardiovascular Disease,00959,86.0
69,Cardiovascular Disease,00960,14.0
70,Cardiovascular Disease,00961,128.0
71,Cardiovascular Disease,00965,2.0
72,Cardiovascular Disease,00966,18.0
73,Cardiovascular Disease,00968,2.0
74,Cardiovascular Disease,00969,23.0
75,Cardiovascular Disease,00970,5.0
76,Cardiovascular Disease,00971,1.0
77,Cardiovascular Disease,00973,5.0
78,Cardiovascular Disease,00978,13.0
79,Cardiovascular Disease,00979,31.0
80,Cardiovascular Disease,00983,31.0
81,Cardiovascular Disease,00984,2.0
82,Cardiovascular Disease,00988,5.0
83,Cardiovascular Disease,01002,2.0
84,Cardiovascular Disease,01020,15.0
85,Cardiovascular Disease,01040,57.0
86,Cardiovascular Disease,01060,1.0
87,Cardiovascular Disease,01082,7.0
88,Cardiovascular Disease,01085,4.0
89,Cardiovascular Disease,01104,9.0
90,Cardiovascular Disease,01107,29.0
91,Cardiovascular Disease,01199,40.0
92,Cardiovascular Disease,01201,24.0
93,Cardiovascular Disease,01293,1.0
94,Cardiovascular Disease,01301,36.0
95,Cardiovascular Disease,01432,45.0
96,Cardiovascular Disease,01440,17.0
97,Cardiovascular Disease,01451,1.0
98,Cardiovascular Disease,01501,1.0
99,Cardiovascular Disease,01545,1.0
100,Cardiovascular Disease,01568,3.0
101,Cardiovascular Disease,01570,20.0
102,Cardiovascular Disease,01604,40.0
103,Cardiovascular Disease,01605,91.0
104,Cardiovascular Disease,01608,247.0
105,Cardiovascular Disease,01609,6.0
106,Cardiovascular Disease,01615,4.0
107,Cardiovascular Disease,01655,54.0
108,Cardiovascular Disease,01702,75.0
109,Cardiovascular Disease,01742,19.0
110,Cardiovascular Disease,01757,1.0
111,Cardiovascular Disease,01760,2.0
112,Cardiovascular Disease,01772,2.0
113,Cardiovascular Disease,01776,4.0
114,Cardiovascular Disease,01801,7.0
115,Cardiovascular Disease,01805,30.0
116,Cardiovascular Disease,01824,5.0
117,Cardiovascular Disease,01830,7.0
118,Cardiovascular Disease,01841,8.0
119,Cardiovascular Disease,01844,15.0
120,Cardiovascular Disease,01845,42.0
121,Cardiovascular Disease,01852,5.0
122,Cardiovascular Disease,01854,2.0
123,Cardiovascular Disease,01863,45.0
124,Cardiovascular Disease,01864,14.0
125,Cardiovascular Disease,01867,25.0
126,Cardiovascular Disease,01876,1.0
127,Cardiovascular Disease,01880,2.0
128,Cardiovascular Disease,01890,5.0
129,Cardiovascular Disease,01915,9.0
130,Cardiovascular Disease,01930,18.0
131,Cardiovascular Disease,01950,3.0
132,Cardiovascular Disease,01970,3.0
133,Cardiovascular Disease,02052,18.0
134,Cardiovascular Disease,02062,34.0
135,Cardiovascular Disease,02067,4.0
136,Cardiovascular Disease,02072,1.0
137,Cardiovascular Disease,02081,1.0
138,Cardiovascular Disease,02090,1.0
139,Cardiovascular Disease,02093,3.0
140,Cardiovascular Disease,02111,199.0
141,Cardiovascular Disease,02114,283.0
142,Cardiovascular Disease,02115,443.0
143,Cardiovascular Disease,02116,8.0
144,Cardiovascular Disease,02118,50.0
145,Cardiovascular Disease,02120,177.0
146,Cardiovascular Disease,02124,10.0
147,Cardiovascular Disease,02125,2.0
148,Cardiovascular Disease,02129,1.0
149,Cardiovascular Disease,02130,9.0
150,Cardiovascular Disease,02132,2.0
151,Cardiovascular Disease,02135,64.0
152,Cardiovascular Disease,02138,60.0
153,Cardiovascular Disease,02139,8.0
154,Cardiovascular Disease,02140,5.0
155,Cardiovascular Disease,02143,1.0
156,Cardiovascular Disease,02149,1.0
157,Cardiovascular Disease,02155,14.0
158,Cardiovascular Disease,02176,18.0
159,Cardiovascular Disease,02180,6.0
160,Cardiovascular Disease,02184,4.0
161,Cardiovascular Disease,02186,10.0
162,Cardiovascular Disease,02190,28.0
163,Cardiovascular Disease,02193,6.0
164,Cardiovascular Disease,02215,231.0
165,Cardiovascular Disease,02241,68.0
166,Cardiovascular Disease,02284,10.0
167,Cardiovascular Disease,02301,159.0
168,Cardiovascular Disease,02302,11.0
169,Cardiovascular Disease,02333,1.0
170,Cardiovascular Disease,02356,58.0
171,Cardiovascular Disease,02360,30.0
172,Cardiovascular Disease,02375,1.0
173,Cardiovascular Disease,02379,10.0
174,Cardiovascular Disease,02400,4.0
175,Cardiovascular Disease,02421,2.0
176,Cardiovascular Disease,02445,5.0
177,Cardiovascular Disease,02446,12.0
178,Cardiovascular Disease,02451,1.0
179,Cardiovascular Disease,02453,5.0
180,Cardiovascular Disease,02459,19.0
181,Cardiovascular Disease,02460,1.0
182,Cardiovascular Disease,02467,9.0
183,Cardiovascular Disease,02472,3.0
184,Cardiovascular Disease,02478,1.0
185,Cardiovascular Disease,02492,2.0
186,Cardiovascular Disease,02571,49.0
187,Cardiovascular Disease,02601,138.0
188,Cardiovascular Disease,02675,1.0
189,Cardiovascular Disease,02719,32.0
190,Cardiovascular Disease,02720,90.0
191,Cardiovascular Disease,02721,119.0
192,Cardiovascular Disease,02740,41.0
193,Cardiovascular Disease,02742,2.0
194,Cardiovascular Disease,02747,11.0
195,Cardiovascular Disease,02780,2.0
196,Cardiovascular Disease,02818,1.0
197,Cardiovascular Disease,02840,1.0
198,Cardiovascular Disease,02842,12.0
199,Cardiovascular Disease,02852,2.0
200,Cardiovascular Disease,02860,141.0
201,Cardiovascular Disease,02864,2.0
202,Cardiovascular Disease,02871,6.0
203,Cardiovascular Disease,02885,1.0
204,Cardiovascular Disease,02886,44.0
205,Cardiovascular Disease,02891,27.0
206,Cardiovascular Disease,02895,199.0
207,Cardiovascular Disease,02903,73.0
208,Cardiovascular Disease,02904,217.0
209,Cardiovascular Disease,02906,8.0
210,Cardiovascular Disease,02907,1.0
211,Cardiovascular Disease,02914,8.0
212,Cardiovascular Disease,02917,1.0
213,Cardiovascular Disease,02919,4.0
214,Cardiovascular Disease,02920,26.0
215,Cardiovascular Disease,02940,39.0
216,Cardiovascular Disease,03038,1.0
217,Cardiovascular Disease,03054,1.0
218,Cardiovascular Disease,03060,17.0
219,Cardiovascular Disease,03061,1.0
220,Cardiovascular Disease,03063,2.0
221,Cardiovascular Disease,03102,54.0
222,Cardiovascular Disease,03103,90.0
223,Cardiovascular Disease,03246,1.0
224,Cardiovascular Disease,03301,5.0
225,Cardiovascular Disease,03362,1.0
226,Cardiovascular Disease,03380,7.0
227,Cardiovascular Disease,03431,2.0
228,Cardiovascular Disease,03755,1.0
229,Cardiovascular Disease,03756,18.0
230,Cardiovascular Disease,03801,63.0
231,Cardiovascular Disease,03820,10.0
232,Cardiovascular Disease,03829,4.0
233,Cardiovascular Disease,03833,10.0
234,Cardiovascular Disease,03842,1.0
235,Cardiovascular Disease,03867,18.0
236,Cardiovascular Disease,03878,10.0
237,Cardiovascular Disease,03886,1.0
238,Cardiovascular Disease,03909,64.0
239,Cardiovascular Disease,04005,2.0
240,Cardiovascular Disease,04011,5.0
241,Cardiovascular Disease,04072,3.0
242,Cardiovascular Disease,04074,4.0
243,Cardiovascular Disease,04092,40.0
244,Cardiovascular Disease,04101,18.0
245,Cardiovascular Disease,04102,21.0
246,Cardiovascular Disease,04106,1.0
247,Cardiovascular Disease,04210,154.0
248,Cardiovascular Disease,04240,24.0
249,Cardiovascular Disease,04330,5.0
250,Cardiovascular Disease,04401,32.0
251,Cardiovascular Disease,04736,1.0
252,Cardiovascular Disease,04769,4.0
253,Cardiovascular Disease,04901,2.0
254,Cardiovascular Disease,04915,3.0
255,Cardiovascular Disease,04938,3.0
256,Cardiovascular Disease,05201,1.0
257,Cardiovascular Disease,05301,1.0
258,Cardiovascular Disease,05401,74.0
259,Cardiovascular Disease,05402,1.0
260,Cardiovascular Disease,05403,5.0
261,Cardiovascular Disease,05701,2.0
262,Cardiovascular Disease,05710,7.0
263,Cardiovascular Disease,06001,3.0
264,Cardiovascular Disease,06002,180.0
265,Cardiovascular Disease,06010,19.0
266,Cardiovascular Disease,06029,6.0
267,Cardiovascular Disease,06030,13.0
268,Cardiovascular Disease,06032,5.0
269,Cardiovascular Disease,06033,45.0
270,Cardiovascular Disease,06040,169.0
271,Cardiovascular Disease,06042,1.0
272,Cardiovascular Disease,06050,1.0
273,Cardiovascular Disease,06051,297.0
274,Cardiovascular Disease,06052,182.0
275,Cardiovascular Disease,06053,2.0
276,Cardiovascular Disease,06066,12.0
277,Cardiovascular Disease,06067,79.0
278,Cardiovascular Disease,06074,2.0
279,Cardiovascular Disease,06082,35.0
280,Cardiovascular Disease,06095,13.0
281,Cardiovascular Disease,06102,83.0
282,Cardiovascular Disease,06103,4.0
283,Cardiovascular Disease,06105,211.0
284,Cardiovascular Disease,06106,168.0
285,Cardiovascular Disease,06107,4.0
286,Cardiovascular Disease,06108,3.0
287,Cardiovascular Disease,06109,107.0
288,Cardiovascular Disease,06111,3.0
289,Cardiovascular Disease,06112,21.0
290,Cardiovascular Disease,06117,63.0
291,Cardiovascular Disease,06119,2.0
292,Cardiovascular Disease,06150,1.0
293,Cardiovascular Disease,06226,8.0
294,Cardiovascular Disease,06260,21.0
295,Cardiovascular Disease,06355,5.0
296,Cardiovascular Disease,06360,83.0
297,Cardiovascular Disease,06385,26.0
298,Cardiovascular Disease,06403,1.0
299,Cardiovascular Disease,06405,23.0
300,Cardiovascular Disease,06418,17.0
301,Cardiovascular Disease,06430,1.0
302,Cardiovascular Disease,06437,29.0
303,Cardiovascular Disease,06447,8.0
304,Cardiovascular Disease,06450,1.0
305,Cardiovascular Disease,06457,163.0
306,Cardiovascular Disease,06460,8.0
307,Cardiovascular Disease,06473,3.0
308,Cardiovascular Disease,06477,18.0
309,Cardiovascular Disease,06484,77.0
310,Cardiovascular Disease,06488,5.0
311,Cardiovascular Disease,06489,7.0
312,Cardiovascular Disease,06492,90.0
313,Cardiovascular Disease,06504,2.0
314,Cardiovascular Disease,06510,140.0
315,Cardiovascular Disease,06511,63.0
316,Cardiovascular Disease,06512,24.0
317,Cardiovascular Disease,06516,6.0
318,Cardiovascular Disease,06517,139.0
319,Cardiovascular Disease,06518,221.0
320,Cardiovascular Disease,06519,156.0
321,Cardiovascular Disease,06520,93.0
322,Cardiovascular Disease,06525,10.0
323,Cardiovascular Disease,06536,3.0
324,Cardiovascular Disease,06606,148.0
325,Cardiovascular Disease,06610,178.0
326,Cardiovascular Disease,06611,153.0
327,Cardiovascular Disease,06702,14.0
328,Cardiovascular Disease,06706,6.0
329,Cardiovascular Disease,06708,57.0
330,Cardiovascular Disease,06762,48.0
331,Cardiovascular Disease,06776,6.0
332,Cardiovascular Disease,06790,41.0
333,Cardiovascular Disease,06804,2.0
334,Cardiovascular Disease,06807,5.0
335,Cardiovascular Disease,06810,196.0
336,Cardiovascular Disease,06824,318.0
337,Cardiovascular Disease,06830,19.0
338,Cardiovascular Disease,06840,4.0
339,Cardiovascular Disease,06850,2.0
340,Cardiovascular Disease,06851,46.0
341,Cardiovascular Disease,06877,4.0
342,Cardiovascular Disease,06880,6.0
343,Cardiovascular Disease,06883,6.0
344,Cardiovascular Disease,06902,53.0
345,Cardiovascular Disease,06903,3.0
346,Cardiovascular Disease,06905,124.0
347,Cardiovascular Disease,07002,14.0
348,Cardiovascular Disease,07003,136.0
349,Cardiovascular Disease,07006,9.0
350,Cardiovascular Disease,07010,2.0
351,Cardiovascular Disease,07011,5.0
352,Cardiovascular Disease,07012,31.0
353,Cardiovascular Disease,07013,174.0
354,Cardiovascular Disease,07017,1.0
355,Cardiovascular Disease,07018,31.0
356,Cardiovascular Disease,07020,81.0
357,Cardiovascular Disease,07024,73.0
358,Cardiovascular Disease,07028,120.0
359,Cardiovascular Disease,07030,3.0
360,Cardiovascular Disease,07031,32.0
361,Cardiovascular Disease,07032,1.0
362,Cardiovascular Disease,07035,2.0
363,Cardiovascular Disease,07036,3.0
364,Cardiovascular Disease,07039,124.0
365,Cardiovascular Disease,07040,34.0
366,Cardiovascular Disease,07041,49.0
367,Cardiovascular Disease,07042,9.0
368,Cardiovascular Disease,07044,2.0
369,Cardiovascular Disease,07046,170.0
370,Cardiovascular Disease,07047,22.0
371,Cardiovascular Disease,07050,5.0
372,Cardiovascular Disease,07052,205.0
373,Cardiovascular Disease,07054,2.0
374,Cardiovascular Disease,07055,19.0
375,Cardiovascular Disease,07059,4.0
376,Cardiovascular Disease,07060,65.0
377,Cardiovascular Disease,07063,1.0
378,Cardiovascular Disease,07065,9.0
379,Cardiovascular Disease,07066,78.0
380,Cardiovascular Disease,07068,1.0
381,Cardiovascular Disease,07069,10.0
382,Cardiovascular Disease,07071,4.0
383,Cardiovascular Disease,07078,28.0
384,Cardiovascular Disease,07079,4.0
385,Cardiovascular Disease,07080,53.0
386,Cardiovascular Disease,07081,161.0
387,Cardiovascular Disease,07083,53.0
388,Cardiovascular Disease,07087,43.0
389,Cardiovascular Disease,07088,1.0
390,Cardiovascular Disease,07090,2.0
391,Cardiovascular Disease,07092,10.0
392,Cardiovascular Disease,07093,180.0
393,Cardiovascular Disease,07094,2.0
394,Cardiovascular Disease,07095,7.0
395,Cardiovascular Disease,07102,22.0
396,Cardiovascular Disease,07103,74.0
397,Cardiovascular Disease,07104,4.0
398,Cardiovascular Disease,07105,7.0
399,Cardiovascular Disease,07106,1.0
400,Cardiovascular Disease,07107,9.0
401,Cardiovascular Disease,07109,35.0
402,Cardiovascular Disease,07110,11.0
403,Cardiovascular Disease,07111,2.0
404,Cardiovascular Disease,07112,367.0
405,Cardiovascular Disease,07202,121.0
406,Cardiovascular Disease,07203,19.0
407,Cardiovascular Disease,07302,63.0
408,Cardiovascular Disease,07303,30.0
409,Cardiovascular Disease,07304,37.0
410,Cardiovascular Disease,07305,4.0
411,Cardiovascular Disease,07306,44.0
412,Cardiovascular Disease,07307,44.0
413,Cardiovascular Disease,07405,2.0
414,Cardiovascular Disease,07410,103.0
415,Cardiovascular Disease,07424,67.0
416,Cardiovascular Disease,07430,11.0
417,Cardiovascular Disease,07432,1.0
418,Cardiovascular Disease,07436,19.0
419,Cardiovascular Disease,07444,6.0
420,Cardiovascular Disease,07450,273.0
421,Cardiovascular Disease,07458,12.0
422,Cardiovascular Disease,07463,2.0
423,Cardiovascular Disease,07470,149.0
424,Cardiovascular Disease,07480,2.0
425,Cardiovascular Disease,07481,1.0
426,Cardiovascular Disease,07503,87.0
427,Cardiovascular Disease,07506,67.0
428,Cardiovascular Disease,07508,7.0
429,Cardiovascular Disease,07514,21.0
430,Cardiovascular Disease,07601,145.0
431,Cardiovascular Disease,07602,20.0
432,Cardiovascular Disease,07604,17.0
433,Cardiovascular Disease,07607,1.0
434,Cardiovascular Disease,07620,3.0
435,Cardiovascular Disease,07626,2.0
436,Cardiovascular Disease,07627,3.0
437,Cardiovascular Disease,07631,198.0
438,Cardiovascular Disease,07632,13.0
439,Cardiovascular Disease,07640,3.0
440,Cardiovascular Disease,07644,1.0
441,Cardiovascular Disease,07647,10.0
442,Cardiovascular Disease,07648,1.0
443,Cardiovascular Disease,07650,1.0
444,Cardiovascular Disease,07652,49.0
445,Cardiovascular Disease,07660,10.0
446,Cardiovascular Disease,07661,2.0
447,Cardiovascular Disease,07662,5.0
448,Cardiovascular Disease,07663,10.0
449,Cardiovascular Disease,07666,66.0
450,Cardiovascular Disease,07670,5.0
451,Cardiovascular Disease,07675,19.0
452,Cardiovascular Disease,07701,219.0
453,Cardiovascular Disease,07702,15.0
454,Cardiovascular Disease,07712,50.0
455,Cardiovascular Disease,07719,1.0
456,Cardiovascular Disease,07724,7.0
457,Cardiovascular Disease,07726,9.0
458,Cardiovascular Disease,07728,46.0
459,Cardiovascular Disease,07730,9.0
460,Cardiovascular Disease,07733,4.0
461,Cardiovascular Disease,07740,15.0
462,Cardiovascular Disease,07746,5.0
463,Cardiovascular Disease,07747,2.0
464,Cardiovascular Disease,07748,19.0
465,Cardiovascular Disease,07751,8.0
466,Cardiovascular Disease,07753,324.0
467,Cardiovascular Disease,07764,9.0
468,Cardiovascular Disease,07801,2.0
469,Cardiovascular Disease,07834,31.0
470,Cardiovascular Disease,07840,8.0
471,Cardiovascular Disease,07856,121.0
472,Cardiovascular Disease,07860,46.0
473,Cardiovascular Disease,07869,8.0
474,Cardiovascular Disease,07876,2.0
475,Cardiovascular Disease,07901,24.0
476,Cardiovascular Disease,07922,4.0
477,Cardiovascular Disease,07927,59.0
478,Cardiovascular Disease,07928,1.0
479,Cardiovascular Disease,07930,16.0
480,Cardiovascular Disease,07932,18.0
481,Cardiovascular Disease,07945,4.0
482,Cardiovascular Disease,07960,136.0
483,Cardiovascular Disease,07974,119.0
484,Cardiovascular Disease,08002,30.0
485,Cardiovascular Disease,08003,21.0
486,Cardiovascular Disease,08009,4.0
487,Cardiovascular Disease,08012,12.0
488,Cardiovascular Disease,08015,371.0
489,Cardiovascular Disease,08016,2.0
490,Cardiovascular Disease,08033,4.0
491,Cardiovascular Disease,08034,297.0
492,Cardiovascular Disease,08035,290.0
493,Cardiovascular Disease,08037,79.0
494,Cardiovascular Disease,08043,248.0
495,Cardiovascular Disease,08046,18.0
496,Cardiovascular Disease,08050,37.0
497,Cardiovascular Disease,08051,4.0
498,Cardiovascular Disease,08053,8.0
499,Cardiovascular Disease,08054,123.0
500,Cardiovascular Disease,08055,5.0
501,Cardiovascular Disease,08057,48.0
502,Cardiovascular Disease,08062,7.0
503,Cardiovascular Disease,08068,13.0
504,Cardiovascular Disease,08069,3.0
505,Cardiovascular Disease,08079,12.0
506,Cardiovascular Disease,08080,61.0
507,Cardiovascular Disease,08082,4.0
508,Cardiovascular Disease,08084,1.0
509,Cardiovascular Disease,08092,1.0
510,Cardiovascular Disease,08096,49.0
511,Cardiovascular Disease,08099,1.0
512,Cardiovascular Disease,08103,404.0
513,Cardiovascular Disease,08106,1.0
514,Cardiovascular Disease,08201,2.0
515,Cardiovascular Disease,08205,136.0
516,Cardiovascular Disease,08210,62.0
517,Cardiovascular Disease,08221,2.0
518,Cardiovascular Disease,08232,10.0
519,Cardiovascular Disease,08234,41.0
520,Cardiovascular Disease,08240,42.0
521,Cardiovascular Disease,08244,9.0
522,Cardiovascular Disease,08302,6.0
523,Cardiovascular Disease,08332,23.0
524,Cardiovascular Disease,08360,42.0
525,Cardiovascular Disease,08401,6.0
526,Cardiovascular Disease,08406,9.0
527,Cardiovascular Disease,08510,2.0
528,Cardiovascular Disease,08518,1.0
529,Cardiovascular Disease,08527,5.0
530,Cardiovascular Disease,08534,22.0
531,Cardiovascular Disease,08536,4.0
532,Cardiovascular Disease,08540,29.0
533,Cardiovascular Disease,08542,9.0
534,Cardiovascular Disease,08611,6.0
535,Cardiovascular Disease,08619,6.0
536,Cardiovascular Disease,08629,23.0
537,Cardiovascular Disease,08638,30.0
538,Cardiovascular Disease,08648,60.0
539,Cardiovascular Disease,08690,167.0
540,Cardiovascular Disease,08691,63.0
541,Cardiovascular Disease,08701,41.0
542,Cardiovascular Disease,08723,11.0
543,Cardiovascular Disease,08724,112.0
544,Cardiovascular Disease,08750,49.0
545,Cardiovascular Disease,08753,1.0
546,Cardiovascular Disease,08755,232.0
547,Cardiovascular Disease,08759,1.0
548,Cardiovascular Disease,08807,208.0
549,Cardiovascular Disease,08816,242.0
550,Cardiovascular Disease,08817,63.0
551,Cardiovascular Disease,08818,1.0
552,Cardiovascular Disease,08820,168.0
553,Cardiovascular Disease,08822,102.0
554,Cardiovascular Disease,08830,54.0
555,Cardiovascular Disease,08831,30.0
556,Cardiovascular Disease,08837,40.0
557,Cardiovascular Disease,08840,37.0
558,Cardiovascular Disease,08844,13.0
559,Cardiovascular Disease,08846,1.0
560,Cardiovascular Disease,08857,26.0
561,Cardiovascular Disease,08859,28.0
562,Cardiovascular Disease,08861,14.0
563,Cardiovascular Disease,08863,2.0
564,Cardiovascular Disease,08865,64.0
565,Cardiovascular Disease,08869,32.0
566,Cardiovascular Disease,08873,64.0
567,Cardiovascular Disease,08876,28.0
568,Cardiovascular Disease,08879,2.0
569,Cardiovascular Disease,08901,104.0
570,Cardiovascular Disease,08902,53.0
571,Cardiovascular Disease,08903,26.0
572,Cardiovascular Disease,10001,54.0
573,Cardiovascular Disease,10002,3.0
574,Cardiovascular Disease,10003,330.0
575,Cardiovascular Disease,10007,6.0
576,Cardiovascular Disease,10009,6.0
577,Cardiovascular Disease,10010,50.0
578,Cardiovascular Disease,10011,4.0
579,Cardiovascular Disease,10013,289.0
580,Cardiovascular Disease,10014,3.0
581,Cardiovascular Disease,10016,779.0
582,Cardiovascular Disease,10017,3.0
583,Cardiovascular Disease,10019,559.0
584,Cardiovascular Disease,10019.0,2.0
585,Cardiovascular Disease,10020,5.0
586,Cardiovascular Disease,10021,475.0
587,Cardiovascular Disease,10021.0,5.0
588,Cardiovascular Disease,10022,228.0
589,Cardiovascular Disease,10023,24.0
590,Cardiovascular Disease,10024,2.0
591,Cardiovascular Disease,10025,108.0
592,Cardiovascular Disease,10025.0,1.0
593,Cardiovascular Disease,10027,3.0
594,Cardiovascular Disease,10028,154.0
595,Cardiovascular Disease,10029,621.0
596,Cardiovascular Disease,10029.0,6.0
597,Cardiovascular Disease,10031,7.0
598,Cardiovascular Disease,10032,503.0
599,Cardiovascular Disease,10032.0,26.0
600,Cardiovascular Disease,10033,42.0
601,Cardiovascular Disease,10034,2.0
602,Cardiovascular Disease,10035,25.0
603,Cardiovascular Disease,10037,3.0
604,Cardiovascular Disease,10038,21.0
605,Cardiovascular Disease,10038.0,1.0
606,Cardiovascular Disease,10039,4.0
607,Cardiovascular Disease,10040,1.0
608,Cardiovascular Disease,10065,267.0
609,Cardiovascular Disease,10065.0,2.0
610,Cardiovascular Disease,10068,1.0
611,Cardiovascular Disease,10075,156.0
612,Cardiovascular Disease,10075.0,1.0
613,Cardiovascular Disease,10087,26.0
614,Cardiovascular Disease,10128,188.0
615,Cardiovascular Disease,1020,9.0
616,Cardiovascular Disease,10301,67.0
617,Cardiovascular Disease,10304,49.0
618,Cardiovascular Disease,10305,236.0
619,Cardiovascular Disease,10305.0,6.0
620,Cardiovascular Disease,10306,96.0
621,Cardiovascular Disease,10309,8.0
622,Cardiovascular Disease,10310,115.0
623,Cardiovascular Disease,10312,8.0
624,Cardiovascular Disease,10314,3.0
625,Cardiovascular Disease,1040,30.0
626,Cardiovascular Disease,10451,7.0
627,Cardiovascular Disease,10452,1.0
628,Cardiovascular Disease,10456,4.0
629,Cardiovascular Disease,10457,28.0
630,Cardiovascular Disease,10458,29.0
631,Cardiovascular Disease,10459,11.0
632,Cardiovascular Disease,10460,4.0
633,Cardiovascular Disease,10461,312.0
634,Cardiovascular Disease,10461.0,1.0
635,Cardiovascular Disease,10462,22.0
636,Cardiovascular Disease,10463,32.0
637,Cardiovascular Disease,10465,7.0
638,Cardiovascular Disease,10466,12.0
639,Cardiovascular Disease,10467,194.0
640,Cardiovascular Disease,10468,109.0
641,Cardiovascular Disease,10469,148.0
642,Cardiovascular Disease,10471,13.0
643,Cardiovascular Disease,10501,3.0
644,Cardiovascular Disease,10504,23.0
645,Cardiovascular Disease,10506,1.0
646,Cardiovascular Disease,10509,22.0
647,Cardiovascular Disease,10510,27.0
648,Cardiovascular Disease,10512,6.0
649,Cardiovascular Disease,10516,2.0
650,Cardiovascular Disease,10522,9.0
651,Cardiovascular Disease,10528,6.0
652,Cardiovascular Disease,10530,79.0
653,Cardiovascular Disease,10532,221.0
654,Cardiovascular Disease,10532.0,1.0
655,Cardiovascular Disease,10536,1.0
656,Cardiovascular Disease,10543,10.0
657,Cardiovascular Disease,10543.0,1.0
658,Cardiovascular Disease,10549,2.0
659,Cardiovascular Disease,10550,3.0
660,Cardiovascular Disease,1056,1.0
661,Cardiovascular Disease,10562,8.0
662,Cardiovascular Disease,10567,451.0
663,Cardiovascular Disease,10573,1.0
664,Cardiovascular Disease,10579,2.0
665,Cardiovascular Disease,10580,4.0
666,Cardiovascular Disease,10583,122.0
667,Cardiovascular Disease,10589,26.0
668,Cardiovascular Disease,10591,75.0
669,Cardiovascular Disease,10591.0,1.0
670,Cardiovascular Disease,10595,93.0
671,Cardiovascular Disease,10595.0,4.0
672,Cardiovascular Disease,10598,30.0
673,Cardiovascular Disease,10598.0,1.0
674,Cardiovascular Disease,10601,111.0
675,Cardiovascular Disease,10601.0,1.0
676,Cardiovascular Disease,10603,9.0
677,Cardiovascular Disease,10604,15.0
678,Cardiovascular Disease,10604.0,1.0
679,Cardiovascular Disease,10605,76.0
680,Cardiovascular Disease,10605.0,1.0
681,Cardiovascular Disease,10701,78.0
682,Cardiovascular Disease,10703,7.0
683,Cardiovascular Disease,10704,48.0
684,Cardiovascular Disease,10708,15.0
685,Cardiovascular Disease,10709,4.0
686,Cardiovascular Disease,10709.0,1.0
687,Cardiovascular Disease,10710,27.0
688,Cardiovascular Disease,10801,77.0
689,Cardiovascular Disease,10802,13.0
690,Cardiovascular Disease,10803,1.0
691,Cardiovascular Disease,10804,12.0
692,Cardiovascular Disease,1082,4.0
693,Cardiovascular Disease,1085,7.0
694,Cardiovascular Disease,10901,313.0
695,Cardiovascular Disease,10918,1.0
