,speciality,Recipient_Zip_Code,median_payment
228,Cardiovascular Disease,6610,16.77
229,Cardiovascular Disease,6611,13.01
230,Cardiovascular Disease,6702,7.76
231,Cardiovascular Disease,6706,12.575
232,Cardiovascular Disease,6708,14.205
233,Cardiovascular Disease,6762,17.12
234,Cardiovascular Disease,6790,12.87
235,Cardiovascular Disease,6810,18.15
236,Cardiovascular Disease,6824,17.63
237,Cardiovascular Disease,6851,11.95
238,Cardiovascular Disease,6877,16.74
239,Cardiovascular Disease,6880,13.01
240,Cardiovascular Disease,6902,12.5
241,Cardiovascular Disease,6905,14.47
242,Cardiovascular Disease,7002,16.42
243,Cardiovascular Disease,7003,25.54
244,Cardiovascular Disease,7006,15.28
245,Cardiovascular Disease,7012,53.335
246,Cardiovascular Disease,7013,56.395
247,Cardiovascular Disease,7018,15.26
248,Cardiovascular Disease,7020,107.53
249,Cardiovascular Disease,7024,11.945
250,Cardiovascular Disease,7028,12.96
251,Cardiovascular Disease,7030,66.25
252,Cardiovascular Disease,7031,21.23
253,Cardiovascular Disease,7032,0.77
254,Cardiovascular Disease,7035,97.97
255,Cardiovascular Disease,7036,100.33
256,Cardiovascular Disease,7039,14.17
257,Cardiovascular Disease,7040,17.725
258,Cardiovascular Disease,7041,167.97
259,Cardiovascular Disease,7044,19.26
260,Cardiovascular Disease,7046,13.035
261,Cardiovascular Disease,7047,98.64
262,Cardiovascular Disease,7050,10.92
263,Cardiovascular Disease,7052,18.915
264,Cardiovascular Disease,7055,16.67
265,Cardiovascular Disease,7059,93.7
266,Cardiovascular Disease,7060.0,12.13
267,Cardiovascular Disease,7065,21.13
268,Cardiovascular Disease,7066,13.71
269,Cardiovascular Disease,7069,18.76
270,Cardiovascular Disease,7071,11.39
271,Cardiovascular Disease,7078.0,18.88
272,Cardiovascular Disease,7080,36.9
273,Cardiovascular Disease,7081,12.05
274,Cardiovascular Disease,7083,13.99
275,Cardiovascular Disease,7087,20.25
276,Cardiovascular Disease,7092,15.56
277,Cardiovascular Disease,7093,13.04
278,Cardiovascular Disease,7094,17.41
279,Cardiovascular Disease,7102,15.225
280,Cardiovascular Disease,7105,14.56
281,Cardiovascular Disease,7107,15.165
282,Cardiovascular Disease,7109,20.68
283,Cardiovascular Disease,7110,12.57
284,Cardiovascular Disease,7111,83.95
285,Cardiovascular Disease,7112,19.66
286,Cardiovascular Disease,7202,15.05
287,Cardiovascular Disease,7203,12.69
288,Cardiovascular Disease,7302,14.37
289,Cardiovascular Disease,7303,115.44
290,Cardiovascular Disease,7304,109.38
291,Cardiovascular Disease,7305,21.63
292,Cardiovascular Disease,7306,15.78
293,Cardiovascular Disease,7307,20.73
294,Cardiovascular Disease,7401,15.33
295,Cardiovascular Disease,7410,16.32
296,Cardiovascular Disease,7424,13.495
297,Cardiovascular Disease,7430,17.24
298,Cardiovascular Disease,7436,12.93
299,Cardiovascular Disease,7444,11.74
300,Cardiovascular Disease,7450,15.13
301,Cardiovascular Disease,7458,14.915
302,Cardiovascular Disease,7461,48.45
303,Cardiovascular Disease,7462,15.745
304,Cardiovascular Disease,7470,17.97
305,Cardiovascular Disease,7503,15.96
306,Cardiovascular Disease,7506,13.87
307,Cardiovascular Disease,7508,15.875
308,Cardiovascular Disease,7514,13.8
309,Cardiovascular Disease,7601,14.17
310,Cardiovascular Disease,7604,19.51
311,Cardiovascular Disease,7631,13.78
312,Cardiovascular Disease,7632,20.65
313,Cardiovascular Disease,7647,14.26
314,Cardiovascular Disease,7648,13.11
315,Cardiovascular Disease,7652,14.27
316,Cardiovascular Disease,7660,91.315
317,Cardiovascular Disease,7662,12.04
318,Cardiovascular Disease,7663,51.325
319,Cardiovascular Disease,7666,20.0
320,Cardiovascular Disease,7670,15.47
321,Cardiovascular Disease,7675,15.38
322,Cardiovascular Disease,7701,10.8
323,Cardiovascular Disease,7702,17.425
324,Cardiovascular Disease,7712,6.35
325,Cardiovascular Disease,7724,12.46
326,Cardiovascular Disease,7728,72.18
327,Cardiovascular Disease,7730,13.38
328,Cardiovascular Disease,7733,18.57
329,Cardiovascular Disease,7740,13.53
330,Cardiovascular Disease,7748,67.91
331,Cardiovascular Disease,7751,47.68
332,Cardiovascular Disease,7753,18.86
333,Cardiovascular Disease,7764,11.77
334,Cardiovascular Disease,7801,12.93
335,Cardiovascular Disease,7834,7.39
336,Cardiovascular Disease,7840,11.06
337,Cardiovascular Disease,7844,12.91
338,Cardiovascular Disease,7856,11.5
339,Cardiovascular Disease,7860,12.57
340,Cardiovascular Disease,7869,63.445
341,Cardiovascular Disease,7876,12.32
342,Cardiovascular Disease,7901,19.66
343,Cardiovascular Disease,7927,17.66
344,Cardiovascular Disease,7928,17.45
345,Cardiovascular Disease,7930,17.81
346,Cardiovascular Disease,7932,13.45
347,Cardiovascular Disease,7960,13.06
348,Cardiovascular Disease,7974,14.835
349,Cardiovascular Disease,8002,12.33
350,Cardiovascular Disease,8003,9.805
351,Cardiovascular Disease,8009,6.25
352,Cardiovascular Disease,8012,8.22
353,Cardiovascular Disease,8015,11.94
354,Cardiovascular Disease,8016,23.66
355,Cardiovascular Disease,8033,9.17
356,Cardiovascular Disease,8034,10.48
357,Cardiovascular Disease,8035,12.215
358,Cardiovascular Disease,8037,11.94
359,Cardiovascular Disease,8043,13.135
360,Cardiovascular Disease,8046,13.24
361,Cardiovascular Disease,8050,11.78
362,Cardiovascular Disease,8053,13.53
363,Cardiovascular Disease,8054,9.78
364,Cardiovascular Disease,8055,55.0
365,Cardiovascular Disease,8057,10.15
366,Cardiovascular Disease,8079,11.65
367,Cardiovascular Disease,8080,12.605
368,Cardiovascular Disease,8084,12.01
369,Cardiovascular Disease,8096,13.37
370,Cardiovascular Disease,8097,10.2
371,Cardiovascular Disease,8103,8.82
372,Cardiovascular Disease,8106,99.29
373,Cardiovascular Disease,8205,49.91
374,Cardiovascular Disease,8210,12.29
375,Cardiovascular Disease,8221,10.64
376,Cardiovascular Disease,8234,9.6
377,Cardiovascular Disease,8240,10.24
378,Cardiovascular Disease,8244,9.77
379,Cardiovascular Disease,8318,10.65
380,Cardiovascular Disease,8332,13.39
381,Cardiovascular Disease,8360,13.27
382,Cardiovascular Disease,8361,15.59
383,Cardiovascular Disease,8401,12.61
384,Cardiovascular Disease,8510,13.655
385,Cardiovascular Disease,8512,16.71
386,Cardiovascular Disease,8527,8.05
387,Cardiovascular Disease,8536,11.635
388,Cardiovascular Disease,8540,14.97
389,Cardiovascular Disease,8629,8.54
390,Cardiovascular Disease,8638,12.275
391,Cardiovascular Disease,8648,19.23
392,Cardiovascular Disease,8690,12.885
393,Cardiovascular Disease,8691,16.36
394,Cardiovascular Disease,8701,12.225
395,Cardiovascular Disease,8723,12.615
396,Cardiovascular Disease,8724,10.22
397,Cardiovascular Disease,8750,12.41
398,Cardiovascular Disease,8753,10.96
399,Cardiovascular Disease,8755,14.365
400,Cardiovascular Disease,8807,10.54
401,Cardiovascular Disease,8812,106.98
402,Cardiovascular Disease,8816,101.59
403,Cardiovascular Disease,8817,14.02
404,Cardiovascular Disease,8820,16.43
405,Cardiovascular Disease,8822,13.36
406,Cardiovascular Disease,8830,17.65
407,Cardiovascular Disease,8831,11.84
408,Cardiovascular Disease,8837,14.695
409,Cardiovascular Disease,8840,13.635
410,Cardiovascular Disease,8854,18.09
411,Cardiovascular Disease,8857,19.63
412,Cardiovascular Disease,8859,81.965
413,Cardiovascular Disease,8861,29.14
414,Cardiovascular Disease,8865,11.895
415,Cardiovascular Disease,8869,14.2
416,Cardiovascular Disease,8873,77.52
417,Cardiovascular Disease,8876,11.62
418,Cardiovascular Disease,8879,15.35
419,Cardiovascular Disease,8901,13.99
420,Cardiovascular Disease,8902,13.32
421,Cardiovascular Disease,8903,342.815
422,Cardiovascular Disease,9180,15.18
423,Cardiovascular Disease,10001,16.435
424,Cardiovascular Disease,10002,12.775
425,Cardiovascular Disease,10003,17.085
426,Cardiovascular Disease,10009,14.32
427,Cardiovascular Disease,10010,19.33
428,Cardiovascular Disease,10013,18.29
429,Cardiovascular Disease,10014,20.065
430,Cardiovascular Disease,10016,16.18
431,Cardiovascular Disease,10019,67.87
432,Cardiovascular Disease,10021,18.1
433,Cardiovascular Disease,10022,17.52
434,Cardiovascular Disease,10023,67.615
435,Cardiovascular Disease,10024,17.42
436,Cardiovascular Disease,10025,24.5
437,Cardiovascular Disease,10028,88.87
438,Cardiovascular Disease,10029,15.86
439,Cardiovascular Disease,10031,18.03
440,Cardiovascular Disease,10032,49.335
441,Cardiovascular Disease,10033,13.84
442,Cardiovascular Disease,10038,100.09
443,Cardiovascular Disease,10065,17.73
444,Cardiovascular Disease,10075,34.73
445,Cardiovascular Disease,10128,19.31
446,Cardiovascular Disease,10301,15.38
447,Cardiovascular Disease,10304,18.67
448,Cardiovascular Disease,10305,14.37
449,Cardiovascular Disease,10306,11.06
450,Cardiovascular Disease,10310,61.795
451,Cardiovascular Disease,10451,16.645
452,Cardiovascular Disease,10456,12.0
453,Cardiovascular Disease,10458,36.0
454,Cardiovascular Disease,10461,13.0
455,Cardiovascular Disease,10462,19.97
456,Cardiovascular Disease,10463,20.58
457,Cardiovascular Disease,10466,17.02
458,Cardiovascular Disease,10467,24.92
459,Cardiovascular Disease,10468,16.43
460,Cardiovascular Disease,10469,17.95
461,Cardiovascular Disease,10471,19.15
462,Cardiovascular Disease,10506,100.0
463,Cardiovascular Disease,10509,13.84
464,Cardiovascular Disease,10510,13.575
465,Cardiovascular Disease,10512,12.83
466,Cardiovascular Disease,10522,12.43
467,Cardiovascular Disease,10528,13.34
468,Cardiovascular Disease,10530,10.0
469,Cardiovascular Disease,10532,15.295
470,Cardiovascular Disease,10543,40.975
471,Cardiovascular Disease,10549,22.745
472,Cardiovascular Disease,10567,15.31
473,Cardiovascular Disease,10573,13.74
474,Cardiovascular Disease,10579,10.69
475,Cardiovascular Disease,10583,22.4
476,Cardiovascular Disease,10589,18.525
477,Cardiovascular Disease,10591,13.67
478,Cardiovascular Disease,10595,17.865
479,Cardiovascular Disease,10598,61.62
480,Cardiovascular Disease,10601,15.53
481,Cardiovascular Disease,10604,80.39
482,Cardiovascular Disease,10605,19.25
483,Cardiovascular Disease,10701,19.965
484,Cardiovascular Disease,10704,15.535
485,Cardiovascular Disease,10708,24.88
486,Cardiovascular Disease,10709,14.17
487,Cardiovascular Disease,10710,56.7
488,Cardiovascular Disease,10801,17.085
489,Cardiovascular Disease,10804,14.38
490,Cardiovascular Disease,10901,15.74
491,Cardiovascular Disease,10924,14.0
492,Cardiovascular Disease,10940,12.52
493,Cardiovascular Disease,10941,16.5
494,Cardiovascular Disease,10956,14.99
495,Cardiovascular Disease,10980,106.915
496,Cardiovascular Disease,10989,16.09
497,Cardiovascular Disease,10994,9.55
498,Cardiovascular Disease,11010,15.48
499,Cardiovascular Disease,11021,16.84
500,Cardiovascular Disease,11023,11.89
501,Cardiovascular Disease,11030,12.91
502,Cardiovascular Disease,11040,14.01
503,Cardiovascular Disease,11042,13.94
504,Cardiovascular Disease,11103,14.325
505,Cardiovascular Disease,11105,14.81
506,Cardiovascular Disease,11106,17.15
507,Cardiovascular Disease,11201,14.885
508,Cardiovascular Disease,11203,16.78
509,Cardiovascular Disease,11204,17.78
510,Cardiovascular Disease,11209,16.57
511,Cardiovascular Disease,11212,13.61
512,Cardiovascular Disease,11213,16.84
513,Cardiovascular Disease,11214,19.61
514,Cardiovascular Disease,11215,18.49
515,Cardiovascular Disease,11217,16.21
516,Cardiovascular Disease,11218,12.14
517,Cardiovascular Disease,11219,16.2
518,Cardiovascular Disease,11220,16.445
519,Cardiovascular Disease,11222,17.355
520,Cardiovascular Disease,11223,17.565
521,Cardiovascular Disease,11224,18.16
522,Cardiovascular Disease,11228,88.36
523,Cardiovascular Disease,11229,18.095
524,Cardiovascular Disease,11230,17.14
525,Cardiovascular Disease,11234,15.94
526,Cardiovascular Disease,11235,16.5
527,Cardiovascular Disease,11237,92.93
528,Cardiovascular Disease,11238,115.0
529,Cardiovascular Disease,11249,20.065
530,Cardiovascular Disease,11354,13.905
531,Cardiovascular Disease,11355,16.12
532,Cardiovascular Disease,11357,16.415
533,Cardiovascular Disease,11360,14.265
534,Cardiovascular Disease,11361,14.13
535,Cardiovascular Disease,11362,14.98
536,Cardiovascular Disease,11365,14.235
537,Cardiovascular Disease,11366,15.81
538,Cardiovascular Disease,11367,13.75
539,Cardiovascular Disease,11368,11.1
540,Cardiovascular Disease,11372,13.32
541,Cardiovascular Disease,11373,12.435
542,Cardiovascular Disease,11374,2.22
543,Cardiovascular Disease,11375,17.075
544,Cardiovascular Disease,11377,18.45
545,Cardiovascular Disease,11411,17.0
546,Cardiovascular Disease,11414,17.86
547,Cardiovascular Disease,11415,14.64
548,Cardiovascular Disease,11417,40.28
549,Cardiovascular Disease,11418,23.89
550,Cardiovascular Disease,11422,108.605
551,Cardiovascular Disease,11423,20.09
552,Cardiovascular Disease,11427,16.94
553,Cardiovascular Disease,11428,18.57
554,Cardiovascular Disease,11432,18.57
555,Cardiovascular Disease,11501,17.625
556,Cardiovascular Disease,11510,14.57
557,Cardiovascular Disease,11520,15.36
558,Cardiovascular Disease,11530,15.68
559,Cardiovascular Disease,11542,111.38
560,Cardiovascular Disease,11550,119.93
561,Cardiovascular Disease,11554,65.58
562,Cardiovascular Disease,11557,20.0
563,Cardiovascular Disease,11559,10.94
564,Cardiovascular Disease,11563,14.725
565,Cardiovascular Disease,11566,106.5
566,Cardiovascular Disease,11570,12.315
567,Cardiovascular Disease,11572,15.935
568,Cardiovascular Disease,11576,15.63
569,Cardiovascular Disease,11577,19.96
570,Cardiovascular Disease,11581,18.19
571,Cardiovascular Disease,11590,14.5
572,Cardiovascular Disease,11693,14.38
573,Cardiovascular Disease,11701,14.465
574,Cardiovascular Disease,11702,15.715
575,Cardiovascular Disease,11703,7.275
576,Cardiovascular Disease,11706,33.54
577,Cardiovascular Disease,11716,20.68
578,Cardiovascular Disease,11729,17.82
579,Cardiovascular Disease,11733,14.38
580,Cardiovascular Disease,11735,18.71
581,Cardiovascular Disease,11740,103.07
582,Cardiovascular Disease,11743,16.49
583,Cardiovascular Disease,11746,15.51
584,Cardiovascular Disease,11758,12.68
585,Cardiovascular Disease,11763,12.49
586,Cardiovascular Disease,11768,17.04
587,Cardiovascular Disease,11772,1.765
588,Cardiovascular Disease,11776,15.35
589,Cardiovascular Disease,11777,12.35
590,Cardiovascular Disease,11787,25.565
591,Cardiovascular Disease,11788,19.81
592,Cardiovascular Disease,11790,78.655
593,Cardiovascular Disease,11791,18.295
594,Cardiovascular Disease,11792,15.98
595,Cardiovascular Disease,11794,39.49
596,Cardiovascular Disease,11795,13.96
597,Cardiovascular Disease,11801,15.01
598,Cardiovascular Disease,11901,16.855
599,Cardiovascular Disease,12020,12.69
600,Cardiovascular Disease,12075,12.86
601,Cardiovascular Disease,12078,14.74
602,Cardiovascular Disease,12095,19.0
603,Cardiovascular Disease,12180,12.7
604,Cardiovascular Disease,12205,13.59
605,Cardiovascular Disease,12208,14.96
606,Cardiovascular Disease,12211,20.57
607,Cardiovascular Disease,12308,12.8
608,Cardiovascular Disease,12309,12.76
609,Cardiovascular Disease,12401,16.58
610,Cardiovascular Disease,12524,12.37
611,Cardiovascular Disease,12534,12.86
612,Cardiovascular Disease,12550,69.57
613,Cardiovascular Disease,12553,13.84
614,Cardiovascular Disease,12564,11.25
615,Cardiovascular Disease,12601,10.43
616,Cardiovascular Disease,12754,95.0
617,Cardiovascular Disease,12771,125.0
618,Cardiovascular Disease,12775.0,27.5
619,Cardiovascular Disease,12801,9.38
620,Cardiovascular Disease,12804,12.8
621,Cardiovascular Disease,12816,13.665
622,Cardiovascular Disease,12834,11.4
623,Cardiovascular Disease,12845,18.0
624,Cardiovascular Disease,12866,11.17
625,Cardiovascular Disease,12901,16.5
626,Cardiovascular Disease,12983,257.81
627,Cardiovascular Disease,13021,14.22
628,Cardiovascular Disease,13031,11.69
629,Cardiovascular Disease,13039,12.98
630,Cardiovascular Disease,13045,26.67
631,Cardiovascular Disease,13066,18.3
632,Cardiovascular Disease,13088,12.87
633,Cardiovascular Disease,13126,17.34
634,Cardiovascular Disease,13203,19.44
635,Cardiovascular Disease,13210,11.64
636,Cardiovascular Disease,13215,84.45
637,Cardiovascular Disease,13326,68.925
638,Cardiovascular Disease,13346.0,48.505
639,Cardiovascular Disease,13413,69.21
640,Cardiovascular Disease,13440,14.99
641,Cardiovascular Disease,13441,7.805
642,Cardiovascular Disease,13452,14.965
643,Cardiovascular Disease,13501,12.875
644,Cardiovascular Disease,13502,20.35
645,Cardiovascular Disease,13601,15.97
646,Cardiovascular Disease,13619,15.09
647,Cardiovascular Disease,13637,11.47
648,Cardiovascular Disease,13676,10.515
649,Cardiovascular Disease,13790,16.075
650,Cardiovascular Disease,13820,12.1
651,Cardiovascular Disease,13838,12.09
652,Cardiovascular Disease,13850,91.78
653,Cardiovascular Disease,14020,12.29
654,Cardiovascular Disease,14051,10.44
655,Cardiovascular Disease,14063,58.47
656,Cardiovascular Disease,14081,201.65
657,Cardiovascular Disease,14092,44.98
658,Cardiovascular Disease,14094,20.86
659,Cardiovascular Disease,14127,12.29
660,Cardiovascular Disease,14201,3.0
661,Cardiovascular Disease,14203,12.23
662,Cardiovascular Disease,14209,12.905
663,Cardiovascular Disease,14211,13.46
664,Cardiovascular Disease,14214,11.52
665,Cardiovascular Disease,14215,12.525
666,Cardiovascular Disease,14217,16.15
667,Cardiovascular Disease,14220,26.42
668,Cardiovascular Disease,14221,12.69
669,Cardiovascular Disease,14224,62.34
670,Cardiovascular Disease,14225,15.0
671,Cardiovascular Disease,14226,108.095
672,Cardiovascular Disease,14301,12.5
673,Cardiovascular Disease,14420,13.12
674,Cardiovascular Disease,14437,12.56
675,Cardiovascular Disease,14456,16.69
676,Cardiovascular Disease,14513,12.34
677,Cardiovascular Disease,14569,11.7
678,Cardiovascular Disease,14610,252.62
679,Cardiovascular Disease,14618,13.15
680,Cardiovascular Disease,14621,13.41
681,Cardiovascular Disease,14626,84.13
682,Cardiovascular Disease,14642,17.03
683,Cardiovascular Disease,14701,14.2
684,Cardiovascular Disease,14760,11.835
685,Cardiovascular Disease,14810,33.03
686,Cardiovascular Disease,14830,27.36
687,Cardiovascular Disease,14845,734.67
688,Cardiovascular Disease,14850,21.23
689,Cardiovascular Disease,14871,42.8
690,Cardiovascular Disease,14901,11.815
691,Cardiovascular Disease,14905,14.09
692,Cardiovascular Disease,15001,10.75
693,Cardiovascular Disease,15003,80.72
694,Cardiovascular Disease,15009,14.405
695,Cardiovascular Disease,15012,17.76
696,Cardiovascular Disease,15021,12.53
697,Cardiovascular Disease,15022,52.795
698,Cardiovascular Disease,15025,15.17
