,speciality,f_zip_code,median_payment
160,Cardiovascular Disease,02184,15.705
161,Cardiovascular Disease,02186,34.365
162,Cardiovascular Disease,02190,11.74
163,Cardiovascular Disease,02193,142.92
164,Cardiovascular Disease,02215,142.86
165,Cardiovascular Disease,02241,13.255
166,Cardiovascular Disease,02284,13.815
167,Cardiovascular Disease,02301,18.24
168,Cardiovascular Disease,02302,16.41
169,Cardiovascular Disease,02333,13.03
170,Cardiovascular Disease,02356,15.6
171,Cardiovascular Disease,02360,17.17
172,Cardiovascular Disease,02375,24.9
173,Cardiovascular Disease,02379,13.61
174,Cardiovascular Disease,02400,255.005
175,Cardiovascular Disease,02421,1150.0
176,Cardiovascular Disease,02445,275.0
177,Cardiovascular Disease,02446,61.02
178,Cardiovascular Disease,02451,102.18
179,Cardiovascular Disease,02453,16.99
180,Cardiovascular Disease,02459,13.61
181,Cardiovascular Disease,02460,13.04
182,Cardiovascular Disease,02467,155.27
183,Cardiovascular Disease,02472,2.22
184,Cardiovascular Disease,02478,16.77
185,Cardiovascular Disease,02492,1929.5
186,Cardiovascular Disease,02571,17.02
187,Cardiovascular Disease,02601,16.755
188,Cardiovascular Disease,02675,115.34
189,Cardiovascular Disease,02719,15.455
190,Cardiovascular Disease,02720,15.8
191,Cardiovascular Disease,02721,13.96
192,Cardiovascular Disease,02740,13.51
193,Cardiovascular Disease,02742,25.71
194,Cardiovascular Disease,02747,19.94
195,Cardiovascular Disease,02780,38.42
196,Cardiovascular Disease,02818,58.8
197,Cardiovascular Disease,02840,109.05
198,Cardiovascular Disease,02842,12.545
199,Cardiovascular Disease,02852,227.095
200,Cardiovascular Disease,02860,14.86
201,Cardiovascular Disease,02864,16.09
202,Cardiovascular Disease,02871,83.45
203,Cardiovascular Disease,02885,10.25
204,Cardiovascular Disease,02886,19.555
205,Cardiovascular Disease,02891,12.09
206,Cardiovascular Disease,02895,15.55
207,Cardiovascular Disease,02903,32.39
208,Cardiovascular Disease,02904,15.69
209,Cardiovascular Disease,02906,14.62
210,Cardiovascular Disease,02907,123.13
211,Cardiovascular Disease,02914,18.325
212,Cardiovascular Disease,02917,65.99
213,Cardiovascular Disease,02919,41.695
214,Cardiovascular Disease,02920,13.235
215,Cardiovascular Disease,02940,12.63
216,Cardiovascular Disease,03038,11.71
217,Cardiovascular Disease,03054,13.82
218,Cardiovascular Disease,03060,46.65
219,Cardiovascular Disease,03061,20.52
220,Cardiovascular Disease,03063,14.67
221,Cardiovascular Disease,03102,36.39
222,Cardiovascular Disease,03103,95.04
223,Cardiovascular Disease,03246,19.66
224,Cardiovascular Disease,03301,21.35
225,Cardiovascular Disease,03362,110.73
226,Cardiovascular Disease,03380,111.35
227,Cardiovascular Disease,03431,99.95
228,Cardiovascular Disease,03755,122.35
229,Cardiovascular Disease,03756,87.105
230,Cardiovascular Disease,03801,19.28
231,Cardiovascular Disease,03820,12.745
232,Cardiovascular Disease,03829,73.725
233,Cardiovascular Disease,03833,91.52
234,Cardiovascular Disease,03842,2.38
235,Cardiovascular Disease,03867,18.14
236,Cardiovascular Disease,03878,23.415
237,Cardiovascular Disease,03886,289.84
238,Cardiovascular Disease,03909,18.24
239,Cardiovascular Disease,04005,9.245
240,Cardiovascular Disease,04011,64.98
241,Cardiovascular Disease,04072,14.74
242,Cardiovascular Disease,04074,10.88
243,Cardiovascular Disease,04092,11.34
244,Cardiovascular Disease,04101,16.57
245,Cardiovascular Disease,04102,103.34
246,Cardiovascular Disease,04106,15.2
247,Cardiovascular Disease,04210,9.84
248,Cardiovascular Disease,04240,15.24
249,Cardiovascular Disease,04330,13.51
250,Cardiovascular Disease,04401,85.94
251,Cardiovascular Disease,04736,10.51
252,Cardiovascular Disease,04769,13.595
253,Cardiovascular Disease,04901,106.4
254,Cardiovascular Disease,04915,29.82
255,Cardiovascular Disease,04938,20.36
256,Cardiovascular Disease,05201,52.06
257,Cardiovascular Disease,05301,118.17
258,Cardiovascular Disease,05401,104.455
259,Cardiovascular Disease,05402,64.79
260,Cardiovascular Disease,05403,185.34
261,Cardiovascular Disease,05701,12.185
262,Cardiovascular Disease,05710,16.73
263,Cardiovascular Disease,06001,15.69
264,Cardiovascular Disease,06002,13.38
265,Cardiovascular Disease,06010,9.47
266,Cardiovascular Disease,06029,14.35
267,Cardiovascular Disease,06030,13.71
268,Cardiovascular Disease,06032,11.51
269,Cardiovascular Disease,06033,14.65
270,Cardiovascular Disease,06040,12.34
271,Cardiovascular Disease,06042,19.18
272,Cardiovascular Disease,06050,17.4
273,Cardiovascular Disease,06051,4.54
274,Cardiovascular Disease,06052,14.57
275,Cardiovascular Disease,06053,21.475
276,Cardiovascular Disease,06066,8.095
277,Cardiovascular Disease,06067,4.57
278,Cardiovascular Disease,06074,32.66
279,Cardiovascular Disease,06082,8.5
280,Cardiovascular Disease,06095,94.26
281,Cardiovascular Disease,06102,70.13
282,Cardiovascular Disease,06103,11.61
283,Cardiovascular Disease,06105,13.32
284,Cardiovascular Disease,06106,13.48
285,Cardiovascular Disease,06107,16.865
286,Cardiovascular Disease,06108,20.47
287,Cardiovascular Disease,06109,12.87
288,Cardiovascular Disease,06111,10.99
289,Cardiovascular Disease,06112,13.52
290,Cardiovascular Disease,06117,12.56
291,Cardiovascular Disease,06119,17.725
292,Cardiovascular Disease,06150,16.17
293,Cardiovascular Disease,06226,17.15
294,Cardiovascular Disease,06260,12.0
295,Cardiovascular Disease,06355,16.64
296,Cardiovascular Disease,06360,15.01
297,Cardiovascular Disease,06385,29.5
298,Cardiovascular Disease,06403,10.29
299,Cardiovascular Disease,06405,84.78
300,Cardiovascular Disease,06418,18.9
301,Cardiovascular Disease,06430,43.53
302,Cardiovascular Disease,06437,131.26
303,Cardiovascular Disease,06447,9.09
304,Cardiovascular Disease,06450,10.04
305,Cardiovascular Disease,06457,13.19
306,Cardiovascular Disease,06460,58.675
307,Cardiovascular Disease,06473,12.06
308,Cardiovascular Disease,06477,117.715
309,Cardiovascular Disease,06484,5.6
310,Cardiovascular Disease,06488,17.11
311,Cardiovascular Disease,06489,92.64
312,Cardiovascular Disease,06492,14.04
313,Cardiovascular Disease,06504,124.87
314,Cardiovascular Disease,06510,104.93
315,Cardiovascular Disease,06511,94.35
316,Cardiovascular Disease,06512,39.965
317,Cardiovascular Disease,06516,46.785
318,Cardiovascular Disease,06517,14.25
319,Cardiovascular Disease,06518,18.16
320,Cardiovascular Disease,06519,22.405
321,Cardiovascular Disease,06520,123.17
322,Cardiovascular Disease,06525,856.885
323,Cardiovascular Disease,06536,13.92
324,Cardiovascular Disease,06606,11.61
325,Cardiovascular Disease,06610,15.28
326,Cardiovascular Disease,06611,15.12
327,Cardiovascular Disease,06702,14.85
328,Cardiovascular Disease,06706,13.725
329,Cardiovascular Disease,06708,13.31
330,Cardiovascular Disease,06762,16.53
331,Cardiovascular Disease,06776,16.75
332,Cardiovascular Disease,06790,15.3
333,Cardiovascular Disease,06804,13.04
334,Cardiovascular Disease,06807,13.96
335,Cardiovascular Disease,06810,19.155
336,Cardiovascular Disease,06824,14.635
337,Cardiovascular Disease,06830,15.36
338,Cardiovascular Disease,06840,132.93
339,Cardiovascular Disease,06850,14.355
340,Cardiovascular Disease,06851,13.42
341,Cardiovascular Disease,06877,16.88
342,Cardiovascular Disease,06880,14.365
343,Cardiovascular Disease,06883,133.775
344,Cardiovascular Disease,06902,16.42
345,Cardiovascular Disease,06903,10.63
346,Cardiovascular Disease,06905,12.91
347,Cardiovascular Disease,07002,17.66
348,Cardiovascular Disease,07003,14.395
349,Cardiovascular Disease,07006,15.33
350,Cardiovascular Disease,07010,77.565
351,Cardiovascular Disease,07011,13.68
352,Cardiovascular Disease,07012,21.39
353,Cardiovascular Disease,07013,19.015
354,Cardiovascular Disease,07017,111.81
355,Cardiovascular Disease,07018,30.61
356,Cardiovascular Disease,07020,16.0
357,Cardiovascular Disease,07024,18.34
358,Cardiovascular Disease,07028,12.37
359,Cardiovascular Disease,07030,18.0
360,Cardiovascular Disease,07031,18.88
361,Cardiovascular Disease,07032,13.04
362,Cardiovascular Disease,07035,96.52
363,Cardiovascular Disease,07036,111.18
364,Cardiovascular Disease,07039,15.48
365,Cardiovascular Disease,07040,17.055
366,Cardiovascular Disease,07041,21.27
367,Cardiovascular Disease,07042,22.07
368,Cardiovascular Disease,07044,16.88
369,Cardiovascular Disease,07046,16.055
370,Cardiovascular Disease,07047,15.975
371,Cardiovascular Disease,07050,83.95
372,Cardiovascular Disease,07052,17.31
373,Cardiovascular Disease,07054,20.8
374,Cardiovascular Disease,07055,22.72
375,Cardiovascular Disease,07059,105.905
376,Cardiovascular Disease,07060,15.02
377,Cardiovascular Disease,07063,18.74
378,Cardiovascular Disease,07065,14.93
379,Cardiovascular Disease,07066,17.705
380,Cardiovascular Disease,07068,15.0
381,Cardiovascular Disease,07069,23.29
382,Cardiovascular Disease,07071,20.05
383,Cardiovascular Disease,07078,9.705
384,Cardiovascular Disease,07079,12.21
385,Cardiovascular Disease,07080,15.24
386,Cardiovascular Disease,07081,16.29
387,Cardiovascular Disease,07083,17.14
388,Cardiovascular Disease,07087,19.44
389,Cardiovascular Disease,07088,18.78
390,Cardiovascular Disease,07090,12.025
391,Cardiovascular Disease,07092,20.435
392,Cardiovascular Disease,07093,14.5
393,Cardiovascular Disease,07094,50.125
394,Cardiovascular Disease,07095,15.46
395,Cardiovascular Disease,07102,15.76
396,Cardiovascular Disease,07103,17.525
397,Cardiovascular Disease,07104,67.26
398,Cardiovascular Disease,07105,17.31
399,Cardiovascular Disease,07106,100.0
400,Cardiovascular Disease,07107,15.31
401,Cardiovascular Disease,07109,15.67
402,Cardiovascular Disease,07110,16.5
403,Cardiovascular Disease,07111,61.115
404,Cardiovascular Disease,07112,61.05
405,Cardiovascular Disease,07202,14.91
406,Cardiovascular Disease,07203,15.86
407,Cardiovascular Disease,07302,18.3
408,Cardiovascular Disease,07303,14.625
409,Cardiovascular Disease,07304,20.42
410,Cardiovascular Disease,07305,48.915
411,Cardiovascular Disease,07306,18.01
412,Cardiovascular Disease,07307,14.83
413,Cardiovascular Disease,07405,12.165
414,Cardiovascular Disease,07410,19.35
415,Cardiovascular Disease,07424,16.98
416,Cardiovascular Disease,07430,20.79
417,Cardiovascular Disease,07432,10.36
418,Cardiovascular Disease,07436,15.82
419,Cardiovascular Disease,07444,19.54
420,Cardiovascular Disease,07450,17.49
421,Cardiovascular Disease,07458,21.285
422,Cardiovascular Disease,07463,112.0
423,Cardiovascular Disease,07470,20.2
424,Cardiovascular Disease,07480,57.535
425,Cardiovascular Disease,07481,28.71
426,Cardiovascular Disease,07503,19.68
427,Cardiovascular Disease,07506,17.06
428,Cardiovascular Disease,07508,15.5
429,Cardiovascular Disease,07514,16.95
430,Cardiovascular Disease,07601,18.46
431,Cardiovascular Disease,07602,4.575
432,Cardiovascular Disease,07604,14.28
433,Cardiovascular Disease,07607,34.7
434,Cardiovascular Disease,07620,16.01
435,Cardiovascular Disease,07626,73.995
436,Cardiovascular Disease,07627,106.38
437,Cardiovascular Disease,07631,18.16
438,Cardiovascular Disease,07632,14.94
439,Cardiovascular Disease,07640,70.0
440,Cardiovascular Disease,07644,100.0
441,Cardiovascular Disease,07647,45.03
442,Cardiovascular Disease,07648,16.07
443,Cardiovascular Disease,07650,1.4
444,Cardiovascular Disease,07652,17.61
445,Cardiovascular Disease,07660,14.5
446,Cardiovascular Disease,07661,15.755
447,Cardiovascular Disease,07662,17.86
448,Cardiovascular Disease,07663,70.15
449,Cardiovascular Disease,07666,16.97
450,Cardiovascular Disease,07670,27.82
451,Cardiovascular Disease,07675,14.97
452,Cardiovascular Disease,07701,9.33
453,Cardiovascular Disease,07702,19.11
454,Cardiovascular Disease,07712,18.8
455,Cardiovascular Disease,07719,12.58
456,Cardiovascular Disease,07724,13.6
457,Cardiovascular Disease,07726,17.26
458,Cardiovascular Disease,07728,19.9
459,Cardiovascular Disease,07730,17.54
460,Cardiovascular Disease,07733,56.765
461,Cardiovascular Disease,07740,15.67
462,Cardiovascular Disease,07746,19.86
463,Cardiovascular Disease,07747,21.695
464,Cardiovascular Disease,07748,15.98
465,Cardiovascular Disease,07751,56.24
466,Cardiovascular Disease,07753,17.485
467,Cardiovascular Disease,07764,13.83
468,Cardiovascular Disease,07801,0.645
469,Cardiovascular Disease,07834,86.86
470,Cardiovascular Disease,07840,15.385
471,Cardiovascular Disease,07856,12.17
472,Cardiovascular Disease,07860,15.715
473,Cardiovascular Disease,07869,14.955
474,Cardiovascular Disease,07876,59.07
475,Cardiovascular Disease,07901,22.0
476,Cardiovascular Disease,07922,11.81
477,Cardiovascular Disease,07927,18.39
478,Cardiovascular Disease,07928,39.95
479,Cardiovascular Disease,07930,15.795
480,Cardiovascular Disease,07932,16.67
481,Cardiovascular Disease,07945,19.25
482,Cardiovascular Disease,07960,14.47
483,Cardiovascular Disease,07974,17.95
484,Cardiovascular Disease,08002,22.03
485,Cardiovascular Disease,08003,86.94
486,Cardiovascular Disease,08009,14.96
487,Cardiovascular Disease,08012,14.22
488,Cardiovascular Disease,08015,24.37
489,Cardiovascular Disease,08016,13.365
490,Cardiovascular Disease,08033,9.575
491,Cardiovascular Disease,08034,17.24
492,Cardiovascular Disease,08035,14.99
493,Cardiovascular Disease,08037,15.83
494,Cardiovascular Disease,08043,17.03
495,Cardiovascular Disease,08046,15.48
496,Cardiovascular Disease,08050,15.67
497,Cardiovascular Disease,08051,71.83
498,Cardiovascular Disease,08053,13.41
499,Cardiovascular Disease,08054,14.82
500,Cardiovascular Disease,08055,20.58
501,Cardiovascular Disease,08057,11.35
502,Cardiovascular Disease,08062,13.9
503,Cardiovascular Disease,08068,111.41
504,Cardiovascular Disease,08069,12.05
505,Cardiovascular Disease,08079,14.18
506,Cardiovascular Disease,08080,12.77
507,Cardiovascular Disease,08082,43.18
508,Cardiovascular Disease,08084,118.4
509,Cardiovascular Disease,08092,21.24
510,Cardiovascular Disease,08096,14.81
511,Cardiovascular Disease,08099,16.76
512,Cardiovascular Disease,08103,23.63
513,Cardiovascular Disease,08106,17.71
514,Cardiovascular Disease,08201,75.585
515,Cardiovascular Disease,08205,19.34
516,Cardiovascular Disease,08210,15.545
517,Cardiovascular Disease,08221,12.39
518,Cardiovascular Disease,08232,13.57
519,Cardiovascular Disease,08234,65.26
520,Cardiovascular Disease,08240,91.37
521,Cardiovascular Disease,08244,76.42
522,Cardiovascular Disease,08302,16.625
523,Cardiovascular Disease,08332,21.12
524,Cardiovascular Disease,08360,17.275
525,Cardiovascular Disease,08401,36.22
526,Cardiovascular Disease,08406,24.29
527,Cardiovascular Disease,08510,77.205
528,Cardiovascular Disease,08518,22.39
529,Cardiovascular Disease,08527,11.49
530,Cardiovascular Disease,08534,21.53
531,Cardiovascular Disease,08536,24.015
532,Cardiovascular Disease,08540,37.0
533,Cardiovascular Disease,08542,15.51
534,Cardiovascular Disease,08611,18.6
535,Cardiovascular Disease,08619,1293.46
536,Cardiovascular Disease,08629,29.19
537,Cardiovascular Disease,08638,15.49
538,Cardiovascular Disease,08648,14.965
539,Cardiovascular Disease,08690,16.79
540,Cardiovascular Disease,08691,17.25
541,Cardiovascular Disease,08701,17.52
542,Cardiovascular Disease,08723,29.79
543,Cardiovascular Disease,08724,14.89
544,Cardiovascular Disease,08750,16.5
545,Cardiovascular Disease,08753,22.98
546,Cardiovascular Disease,08755,16.035
547,Cardiovascular Disease,08759,15.59
548,Cardiovascular Disease,08807,16.11
549,Cardiovascular Disease,08816,21.36
550,Cardiovascular Disease,08817,16.36
551,Cardiovascular Disease,08818,19.06
552,Cardiovascular Disease,08820,16.245
553,Cardiovascular Disease,08822,15.57
554,Cardiovascular Disease,08830,19.71
555,Cardiovascular Disease,08831,15.125
556,Cardiovascular Disease,08837,14.72
557,Cardiovascular Disease,08840,17.89
558,Cardiovascular Disease,08844,15.09
559,Cardiovascular Disease,08846,12.33
560,Cardiovascular Disease,08857,14.63
561,Cardiovascular Disease,08859,38.55
562,Cardiovascular Disease,08861,16.99
563,Cardiovascular Disease,08863,15.0
564,Cardiovascular Disease,08865,16.89
565,Cardiovascular Disease,08869,14.29
566,Cardiovascular Disease,08873,20.97
567,Cardiovascular Disease,08876,16.875
568,Cardiovascular Disease,08879,36.13
569,Cardiovascular Disease,08901,23.84
570,Cardiovascular Disease,08902,16.1
571,Cardiovascular Disease,08903,111.435
572,Cardiovascular Disease,10001,32.27
573,Cardiovascular Disease,10002,13.34
574,Cardiovascular Disease,10003,20.425
575,Cardiovascular Disease,10007,15.24
576,Cardiovascular Disease,10009,57.76
577,Cardiovascular Disease,10010,16.835
578,Cardiovascular Disease,10011,49.76
579,Cardiovascular Disease,10013,21.67
580,Cardiovascular Disease,10014,18.0
581,Cardiovascular Disease,10016,18.33
582,Cardiovascular Disease,10017,200.0
583,Cardiovascular Disease,10019,23.62
584,Cardiovascular Disease,10019.0,18.145
585,Cardiovascular Disease,10020,12.68
586,Cardiovascular Disease,10021,20.9
587,Cardiovascular Disease,10021.0,65.77
588,Cardiovascular Disease,10022,16.9
589,Cardiovascular Disease,10023,24.82
590,Cardiovascular Disease,10024,17.42
591,Cardiovascular Disease,10025,20.535
592,Cardiovascular Disease,10025.0,24.5
593,Cardiovascular Disease,10027,33.33
594,Cardiovascular Disease,10028,22.31
595,Cardiovascular Disease,10029,17.16
596,Cardiovascular Disease,10029.0,80.76
597,Cardiovascular Disease,10031,18.03
598,Cardiovascular Disease,10032,38.47
599,Cardiovascular Disease,10032.0,55.875
600,Cardiovascular Disease,10033,15.085
601,Cardiovascular Disease,10034,18.125
602,Cardiovascular Disease,10035,23.83
603,Cardiovascular Disease,10037,125.0
604,Cardiovascular Disease,10038,99.0
605,Cardiovascular Disease,10038.0,178.75
606,Cardiovascular Disease,10039,15.055
607,Cardiovascular Disease,10040,16.34
608,Cardiovascular Disease,10065,21.24
609,Cardiovascular Disease,10065.0,41.31
610,Cardiovascular Disease,10068,118.53
611,Cardiovascular Disease,10075,94.975
612,Cardiovascular Disease,10075.0,34.73
613,Cardiovascular Disease,10087,13.96
614,Cardiovascular Disease,10128,18.705
615,Cardiovascular Disease,1020,53.67
616,Cardiovascular Disease,10301,15.49
617,Cardiovascular Disease,10304,19.39
618,Cardiovascular Disease,10305,17.935
619,Cardiovascular Disease,10305.0,115.165
620,Cardiovascular Disease,10306,16.0
621,Cardiovascular Disease,10309,22.21
622,Cardiovascular Disease,10310,18.88
623,Cardiovascular Disease,10312,21.355
624,Cardiovascular Disease,10314,20.83
625,Cardiovascular Disease,1040,14.48
626,Cardiovascular Disease,10451,18.05
627,Cardiovascular Disease,10452,16.25
628,Cardiovascular Disease,10456,12.0
629,Cardiovascular Disease,10457,19.0
630,Cardiovascular Disease,10458,16.11
631,Cardiovascular Disease,10459,19.77
632,Cardiovascular Disease,10460,20.135
633,Cardiovascular Disease,10461,17.12
634,Cardiovascular Disease,10461.0,97.44
635,Cardiovascular Disease,10462,17.315
636,Cardiovascular Disease,10463,19.035
637,Cardiovascular Disease,10465,14.0
638,Cardiovascular Disease,10466,20.595
639,Cardiovascular Disease,10467,43.325
640,Cardiovascular Disease,10468,17.79
641,Cardiovascular Disease,10469,15.015
642,Cardiovascular Disease,10471,20.5
643,Cardiovascular Disease,10501,10.82
644,Cardiovascular Disease,10504,5.81
645,Cardiovascular Disease,10506,100.0
646,Cardiovascular Disease,10509,13.6
647,Cardiovascular Disease,10510,13.1
648,Cardiovascular Disease,10512,21.475
649,Cardiovascular Disease,10516,17.27
650,Cardiovascular Disease,10522,15.99
651,Cardiovascular Disease,10528,13.34
652,Cardiovascular Disease,10530,9.86
653,Cardiovascular Disease,10532,18.93
654,Cardiovascular Disease,10532.0,21.87
655,Cardiovascular Disease,10536,32.28
656,Cardiovascular Disease,10543,32.55
657,Cardiovascular Disease,10543.0,43.69
658,Cardiovascular Disease,10549,22.745
659,Cardiovascular Disease,10550,76.9
660,Cardiovascular Disease,1056,15.71
661,Cardiovascular Disease,10562,14.63
662,Cardiovascular Disease,10567,15.84
663,Cardiovascular Disease,10573,13.74
664,Cardiovascular Disease,10579,10.545
665,Cardiovascular Disease,10580,77.015
666,Cardiovascular Disease,10583,31.915
667,Cardiovascular Disease,10589,15.93
668,Cardiovascular Disease,10591,13.96
669,Cardiovascular Disease,10591.0,23.0
670,Cardiovascular Disease,10595,22.53
671,Cardiovascular Disease,10595.0,21.87
672,Cardiovascular Disease,10598,34.09
673,Cardiovascular Disease,10598.0,61.62
674,Cardiovascular Disease,10601,15.91
675,Cardiovascular Disease,10601.0,125.0
676,Cardiovascular Disease,10603,22.8
677,Cardiovascular Disease,10604,22.55
678,Cardiovascular Disease,10604.0,80.39
679,Cardiovascular Disease,10605,15.58
680,Cardiovascular Disease,10605.0,23.16
681,Cardiovascular Disease,10701,18.415
682,Cardiovascular Disease,10703,75.83
683,Cardiovascular Disease,10704,17.675
684,Cardiovascular Disease,10708,24.88
685,Cardiovascular Disease,10709,16.59
686,Cardiovascular Disease,10709.0,14.17
687,Cardiovascular Disease,10710,18.3
688,Cardiovascular Disease,10801,17.02
689,Cardiovascular Disease,10802,8.67
690,Cardiovascular Disease,10803,31.42
691,Cardiovascular Disease,10804,16.84
692,Cardiovascular Disease,1082,13.06
693,Cardiovascular Disease,1085,11.22
694,Cardiovascular Disease,10901,15.44
695,Cardiovascular Disease,10918,24.0
